Identification,x,y,width,height,confidence,class_type
identification 1,75,699,48,48,0.8638945817947388,Car
identification 2,299,725,51,60,0.8612374663352966,Car
identification 3,253,619,48,50,0.8506714105606079,Car
identification 4,1047,306,43,48,0.8490215539932251,Car
identification 5,302,522,48,46,0.8489471673965454,Car
identification 6,1296,628,37,50,0.848251223564148,Car
identification 7,236,124,48,46,0.8470513820648193,Car
identification 8,506,473,46,50,0.8468995094299316,Car
identification 9,529,624,51,60,0.8466795086860657,Car
identification 10,351,312,46,46,0.8464112877845764,Car
identification 11,1371,447,48,93,0.8444010019302368,Car
identification 12,434,421,43,46,0.8433932065963745,Car
identification 13,158,618,54,55,0.8433849811553955,Car
identification 14,1120,706,51,68,0.8429846167564392,Car
identification 15,49,468,46,46,0.842479407787323,Car
identification 16,1267,744,46,52,0.8422322273254395,Car
identification 17,210,810,54,68,0.8421062231063843,Car
identification 18,236,464,48,48,0.8398078680038452,Car
identification 19,685,601,43,50,0.8397722244262695,Car
identification 20,1011,775,48,52,0.8380756378173828,Car
identification 21,1373,12,46,82,0.8367187976837158,Car
identification 22,414,187,43,41,0.8366808891296387,Car
identification 23,414,817,46,53,0.835635781288147,Car
identification 24,175,92,46,37,0.8352173566818237,Car
identification 25,1284,406,46,93,0.834783136844635,Car
identification 26,48,754,51,53,0.8347798585891724,Car
identification 27,1042,856,43,41,0.8347527384757996,Car
identification 28,1047,155,43,43,0.8339803218841553,Car
identification 29,397,227,43,43,0.8332021832466125,Car
identification 30,420,354,40,43,0.8324540853500366,Car
identification 31,1042,655,46,60,0.8318841457366943,Car
identification 32,293,440,43,43,0.8311065435409546,Car
identification 33,443,622,46,48,0.8306975364685059,Car
identification 34,372,566,48,52,0.8298293352127075,Car
identification 35,1177,692,43,55,0.8296575546264648,Car
identification 36,861,470,46,50,0.8292936682701111,Car
identification 37,12,145,48,39,0.8291703462600708,Car
identification 38,615,526,43,57,0.8288431763648987,Car
identification 39,97,570,43,44,0.827790379524231,Car
identification 40,774,464,51,59,0.8270447254180908,Car
identification 41,437,760,40,46,0.8268784284591675,Car
