Identification,x,y,width,height,confidence,class_type
identification 1,1381,638,51,117,0.6902437210083008,Car
identification 2,0,249,36,26,0.6801927089691162,Car
identification 3,861,469,38,50,0.6733892560005188,Car
identification 4,356,494,45,47,0.6664075255393982,Car
identification 5,1361,805,42,57,0.6624928712844849,Car
identification 6,769,0,38,56,0.6504498720169067,Car
identification 7,1098,137,33,44,0.643702507019043,Car
identification 8,1143,860,40,37,0.6416212320327759,Car
identification 9,625,765,42,60,0.6389232873916626,Car
identification 10,646,703,42,61,0.6386655569076538,Car
identification 11,1365,281,36,42,0.6310358047485352,Car
identification 12,1328,423,45,68,0.6293864846229553,Car
identification 13,985,220,38,46,0.6273953914642334,Car
identification 14,1208,57,31,30,0.6260371208190918,Car
identification 15,1273,94,36,81,0.6243143081665039,Car
identification 16,1044,860,42,37,0.6234344244003296,Car
identification 17,1215,527,36,50,0.6192943453788757,Car
identification 18,1095,1,36,40,0.6189770102500916,Car
identification 19,1168,751,40,57,0.6181663274765015,Car
identification 20,1057,798,36,57,0.6177308559417725,Car
identification 21,1317,115,33,68,0.6174957156181335,Car
identification 22,1134,15,33,67,0.6174225211143494,Car
identification 23,1264,-1,36,35,0.6100603342056274,Car
identification 24,533,624,40,63,0.6083225607872009,Car
identification 25,553,443,42,50,0.6059438586235046,Car
identification 26,718,629,45,58,0.6040944457054138,Car
identification 27,1040,654,45,65,0.6024038195610046,Car
identification 28,844,527,40,46,0.5967035293579102,Car
identification 29,1242,587,49,72,0.59567791223526,Car
identification 30,1057,115,36,39,0.5923516154289246,Car
identification 31,1221,710,38,56,0.5900665521621704,Car
identification 32,1404,526,36,51,0.5884113311767578,Car
identification 33,1048,158,36,44,0.588344156742096,Car
identification 34,1098,831,45,58,0.5864393711090088,Car
identification 35,540,0,33,46,0.5859787464141846,Car
identification 36,0,420,24,49,0.5859382748603821,Car
identification 37,1346,868,49,29,0.5856080651283264,Car
identification 38,1251,798,45,63,0.5756490230560303,Car
identification 39,576,289,45,44,0.5742506980895996,Car
identification 40,956,799,40,53,0.5742084980010986,Car
identification 41,1120,710,42,67,0.5736573934555054,Car
identification 42,992,80,38,35,0.5730345249176025,Car
identification 43,1127,471,42,96,0.5704628825187683,Car
identification 44,871,739,49,61,0.5685601234436035,Car
identification 45,823,444,36,47,0.5672004818916321,Car
identification 46,846,38,33,44,0.5661754608154297,Car
identification 47,940,515,38,57,0.5646967887878418,Car
identification 48,846,138,38,36,0.5634793043136597,Car
identification 49,972,740,40,53,0.5634429454803467,Car
identification 50,290,439,42,47,0.5615543723106384,Car
identification 51,778,598,38,47,0.560517430305481,Car
identification 52,1235,217,45,96,0.5594049692153931,Car
identification 53,1296,628,36,58,0.5575246810913086,Car
identification 54,777,472,33,56,0.5542011857032776,Car
identification 55,511,473,33,56,0.5540093779563904,Car
identification 56,893,683,36,53,0.5539174675941467,Car
identification 57,1014,0,31,46,0.5501199960708618,Car
identification 58,1269,740,40,56,0.5489504933357239,Car
identification 59,1178,499,31,35,0.5477211475372314,Car
identification 60,49,465,40,51,0.5454992055892944,Car
identification 61,1244,418,36,49,0.5432918667793274,Car
identification 62,682,352,40,43,0.5428405404090881,Car
identification 63,1395,342,45,54,0.5412556529045105,Car
identification 64,940,238,38,47,0.5391431450843811,Car
identification 65,1375,45,42,57,0.538094699382782,Car
identification 66,196,-1,45,11,0.5364651679992676,Car
identification 67,263,-1,36,35,0.533478856086731,Car
identification 68,1352,327,40,51,0.5272842049598694,Car
identification 69,428,545,45,50,0.5253183841705322,Car
identification 70,1136,658,42,47,0.5235664248466492,Car
identification 71,933,713,38,40,0.5201242566108704,Car
identification 72,1125,349,38,49,0.5196388959884644,Car
identification 73,5,90,45,30,0.5159359574317932,Car
identification 74,470,451,38,46,0.5131452679634094,Car
identification 75,1404,838,36,56,0.5126118063926697,Car
identification 76,461,263,38,43,0.5107448101043701,Car
