A - Cars,A - Houses,A - Trees,B - Cars,B - Houses,B - Trees,C - Cars,C - Houses,C - Trees,A Reputation,B Reputation,C Reputation;;;;;;;;;;;;;;A - Cars;A - Houses;A - Trees;B - Cars;B - Houses;B - Trees;C - Cars;C - Houses;C - Trees;A Reputation;B Reputation;C Reputation
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0;;;;;;;;;;;;;;114;0;0;7;0;0;176;0;0;25;25;75
0,0,0,0,0,0,176,0,0,0.0,0.0,25.0;;;;;;;;;;;;;;116;0;0;155;0;0;12;0;0;25;75;25
0,0,0,0,0,0,176,0,0,0.0,0.0,50.0;;;;;;;;;;;;;;300;0;0;7;0;0;8;0;0;75;25;25
0,0,0,0,0,0,176,0,0,0.0,0.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,176,0,0,0.0,0.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,155,0,0,0,0,0,0.0,25.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,35,0,0,173,0,0,0.0,25.0,25.0;;;;;;;;;;;;;;;;;Cars;Houses;Trees;;;;;;
0,0,0,32,0,0,176,0,0,0.0,25.0,50.0;;;;;;;;;;;;;;;;A (25%);114;0;0;;;;;;
0,0,0,32,0,0,176,0,0,0.0,25.0,75.0;;;;;;;;;;;;;;;;B (25%);7;0;0;;;;;;
0,0,0,32,0,0,176,0,0,0.0,25.0,100;;;;;;;;;;;;;;;;C (75%);176;0;0;;;;;;
0,0,0,155,0,0,0,0,0,0.0,50.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,155,0,0,46,0,0,0.0,50.0,25.0;;;;;;;;;;;;;;;;A (25%);116;0;0;;;;;;
0,0,0,35,0,0,173,0,0,0.0,50.0,50.0;;;;;;;;;;;;;;;;B (75%);155;0;0;;;;;;
0,0,0,32,0,0,176,0,0,0.0,50.0,75.0;;;;;;;;;;;;;;;;C (25%);12;0;0;;;;;;
0,0,0,32,0,0,176,0,0,0.0,50.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,155,0,0,0,0,0,0.0,75.0,0.0;;;;;;;;;;;;;;;;A (75%);300;0;0;;;;;;
0,0,0,155,0,0,46,0,0,0.0,75.0,25.0;;;;;;;;;;;;;;;;B (25%);7;0;0;;;;;;
0,0,0,143,0,0,60,0,0,0.0,75.0,50.0;;;;;;;;;;;;;;;;C (25%);8;0;0;;;;;;
0,0,0,35,0,0,173,0,0,0.0,75.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,32,0,0,176,0,0,0.0,75.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,155,0,0,0,0,0,0.0,100,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,155,0,0,46,0,0,0.0,100,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,155,0,0,46,0,0,0.0,100,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,90,0,0,117,0,0,0.0,100,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
0,0,0,35,0,0,173,0,0,0.0,100,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,0,0,0,0,0,0,25.0,0.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,0,0,0,35,0,0,25.0,0.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,0,0,0,176,0,0,25.0,0.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,0,0,0,176,0,0,25.0,0.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,0,0,0,176,0,0,25.0,0.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,0,0,0,25.0,25.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,7,0,0,35,0,0,25.0,25.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,7,0,0,176,0,0,25.0,25.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,7,0,0,176,0,0,25.0,25.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,7,0,0,176,0,0,25.0,25.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
120,0,0,155,0,0,0,0,0,25.0,50.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
116,0,0,155,0,0,12,0,0,25.0,50.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
62,0,0,35,0,0,173,0,0,25.0,50.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
61,0,0,32,0,0,176,0,0,25.0,50.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
61,0,0,32,0,0,176,0,0,25.0,50.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
120,0,0,155,0,0,0,0,0,25.0,75.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
116,0,0,155,0,0,12,0,0,25.0,75.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
78,0,0,143,0,0,60,0,0,25.0,75.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
62,0,0,35,0,0,173,0,0,25.0,75.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
61,0,0,32,0,0,176,0,0,25.0,75.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
120,0,0,155,0,0,0,0,0,25.0,100,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
116,0,0,155,0,0,12,0,0,25.0,100,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
80,0,0,155,0,0,46,0,0,25.0,100,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
69,0,0,90,0,0,117,0,0,25.0,100,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
62,0,0,35,0,0,173,0,0,25.0,100,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,0,0,0,0,0,0,50.0,0.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,0,0,0,8,0,0,50.0,0.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,0,0,0,35,0,0,50.0,0.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,0,0,0,176,0,0,50.0,0.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,0,0,0,176,0,0,50.0,0.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,0,0,0,50.0,25.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,7,0,0,8,0,0,50.0,25.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,7,0,0,35,0,0,50.0,25.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,7,0,0,176,0,0,50.0,25.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,7,0,0,176,0,0,50.0,25.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,0,0,0,50.0,50.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,6,0,0,50.0,50.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,7,0,0,35,0,0,50.0,50.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,7,0,0,176,0,0,50.0,50.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
114,0,0,7,0,0,176,0,0,50.0,50.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
158,0,0,124,0,0,0,0,0,50.0,75.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
158,0,0,124,0,0,11,0,0,50.0,75.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
150,0,0,122,0,0,21,0,0,50.0,75.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
76,0,0,31,0,0,173,0,0,50.0,75.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
75,0,0,28,0,0,176,0,0,50.0,75.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
120,0,0,155,0,0,0,0,0,50.0,100,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
120,0,0,155,0,0,9,0,0,50.0,100,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
116,0,0,155,0,0,12,0,0,50.0,100,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
69,0,0,90,0,0,117,0,0,50.0,100,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
62,0,0,35,0,0,173,0,0,50.0,100,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,0,0,0,0,0,0,75.0,0.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,0,0,0,8,0,0,75.0,0.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,0,0,0,8,0,0,75.0,0.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,0,0,0,35,0,0,75.0,0.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
119,0,0,0,0,0,172,0,0,75.0,0.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,0,0,0,75.0,25.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,7,0,0,8,0,0,75.0,25.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,7,0,0,8,0,0,75.0,25.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,7,0,0,35,0,0,75.0,25.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
119,0,0,7,0,0,172,0,0,75.0,25.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,0,0,0,75.0,50.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,6,0,0,75.0,50.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,7,0,0,8,0,0,75.0,50.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,7,0,0,35,0,0,75.0,50.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
119,0,0,7,0,0,172,0,0,75.0,50.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,0,0,0,75.0,75.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,6,0,0,75.0,75.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,6,0,0,75.0,75.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,7,0,0,35,0,0,75.0,75.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
119,0,0,7,0,0,172,0,0,75.0,75.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
263,0,0,41,0,0,0,0,0,75.0,100,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
263,0,0,41,0,0,7,0,0,75.0,100,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
263,0,0,41,0,0,7,0,0,75.0,100,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
241,0,0,38,0,0,30,0,0,75.0,100,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
106,0,0,18,0,0,170,0,0,75.0,100,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,0,0,0,0,0,0,100,0.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,0,0,0,8,0,0,100,0.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,0,0,0,8,0,0,100,0.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,0,0,0,8,0,0,100,0.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,0,0,0,35,0,0,100,0.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,0,0,0,100,25.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,7,0,0,8,0,0,100,25.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,7,0,0,8,0,0,100,25.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,7,0,0,8,0,0,100,25.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,7,0,0,35,0,0,100,25.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,0,0,0,100,50.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,6,0,0,100,50.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,7,0,0,8,0,0,100,50.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,7,0,0,8,0,0,100,50.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,7,0,0,35,0,0,100,50.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,0,0,0,100,75.0,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,6,0,0,100,75.0,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,6,0,0,100,75.0,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,7,0,0,8,0,0,100,75.0,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,7,0,0,35,0,0,100,75.0,100;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,0,0,0,100,100,0.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,6,0,0,100,100,25.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,9,0,0,6,0,0,100,100,50.0;;;;;;;;;;;;;;;;;;;;;;;;;
300,0,0,8,0,0,7,0,0,100,100,75.0;;;;;;;;;;;;;;;;;;;;;;;;;
271,0,0,7,0,0,35,0,0,100,100,100;;;;;;;;;;;;;;;;;;;;;;;;;
